acc. num.,Sequence_ID,Organism,country,Latitude,Longitude,host,collected_by,collection_date,sex
MT549821,GFS_2019_00019,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, EC",-33.28173,26.48638,Eragrostis curvula,Guy Sutton,2019,
MT549822,GFS_2019_00030,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, EC",-33.96861,25.59229,Eragrostis curvula,Guy Sutton,2019,
MT549823,GFS_2019_00035,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, EC",-33.96861,25.59229,Eragrostis curvula,Guy Sutton,2019,
MT549824,GFS_2019_00039,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, EC",-33.28173,26.48638,Eragrostis curvula,Guy Sutton,2019,
MT549825,GFS_2019_00041,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, EC",-33.28173,26.48638,Eragrostis curvula,Guy Sutton,2019,
MT549826,GFS_2019_00043,Tetramesa sp. 5,"South Africa, Glen Muir, East London, EC",-32.87684,28.09499,Eragrostis curvula,Guy Sutton,2019,
MT549827,GFS_2019_00069,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, EC",-33.28173,26.48638,Eragrostis curvula,Guy Sutton,2019,
,GFS_2019_00079,Tetramesa sp. 5,"South Africa, Burnt Kraal, Grahamstown, EC",-33.28173,26.48638,Eragrostis curvula,Guy Sutton,2019,
,GFS_2020_0003,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, EC",-33.96861,25.59229,Eragrostis curvula,Guy Sutton,2020,
MT549828,GFS_2020_00015,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, EC",-33.96861,25.59229,Eragrostis curvula,Guy Sutton,2020,
,GFS_2020_00043,Tetramesa sp. 1,"South Africa, Valhalla, East London, EC",-32.87191,28.08378,Sporobolus pyramidalis,Guy Sutton,2020,
